127.0.0.1 - - [09/Jun/2019:23:03:26 -0300] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [09/Jun/2019:23:03:31 -0300] "GET /ProjetoJSF/ HTTP/1.1" 200 8014
0:0:0:0:0:0:0:1 - - [09/Jun/2019:23:03:31 -0300] "GET /ProjetoJSF/javax.faces.resource/jquery/jquery.js.jsf;jsessionid=723C42A3FC01F584B21BA13293FEC36D?ln=primefaces&v=7.0 HTTP/1.1" 200 87020
0:0:0:0:0:0:0:1 - - [09/Jun/2019:23:03:31 -0300] "GET /ProjetoJSF/javax.faces.resource/jquery/jquery-plugins.js.jsf;jsessionid=723C42A3FC01F584B21BA13293FEC36D?ln=primefaces&v=7.0 HTTP/1.1" 200 267442
0:0:0:0:0:0:0:1 - - [09/Jun/2019:23:03:31 -0300] "GET /ProjetoJSF/javax.faces.resource/core.js.jsf;jsessionid=723C42A3FC01F584B21BA13293FEC36D?ln=primefaces&v=7.0 HTTP/1.1" 200 37704
0:0:0:0:0:0:0:1 - - [09/Jun/2019:23:03:31 -0300] "GET /ProjetoJSF/javax.faces.resource/jsf.js.jsf?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jun/2019:23:03:31 -0300] "GET /ProjetoJSF/javax.faces.resource/components.js.jsf;jsessionid=723C42A3FC01F584B21BA13293FEC36D?ln=primefaces&v=7.0 HTTP/1.1" 200 422192
0:0:0:0:0:0:0:1 - - [09/Jun/2019:23:03:31 -0300] "GET /ProjetoJSF/javax.faces.resource/theme.css.jsf?ln=primefaces-aristo HTTP/1.1" 200 25120
0:0:0:0:0:0:0:1 - - [09/Jun/2019:23:03:31 -0300] "GET /ProjetoJSF/javax.faces.resource/components.css.jsf;jsessionid=723C42A3FC01F584B21BA13293FEC36D?ln=primefaces&v=7.0 HTTP/1.1" 200 93229
0:0:0:0:0:0:0:1 - - [09/Jun/2019:23:03:31 -0300] "GET /ProjetoJSF/javax.faces.resource/images/ui-icons_38667f_256x240.png.jsf?ln=primefaces-aristo HTTP/1.1" 200 3698
0:0:0:0:0:0:0:1 - - [09/Jun/2019:23:03:43 -0300] "POST /ProjetoJSF/index.jsf;jsessionid=723C42A3FC01F584B21BA13293FEC36D HTTP/1.1" 200 10019
0:0:0:0:0:0:0:1 - - [09/Jun/2019:23:03:43 -0300] "GET /ProjetoJSF/javax.faces.resource/theme.css.jsf?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jun/2019:23:03:43 -0300] "GET /ProjetoJSF/javax.faces.resource/jquery/jquery.js.jsf?ln=primefaces&v=7.0 HTTP/1.1" 200 87020
0:0:0:0:0:0:0:1 - - [09/Jun/2019:23:03:43 -0300] "GET /ProjetoJSF/javax.faces.resource/jquery/jquery-plugins.js.jsf?ln=primefaces&v=7.0 HTTP/1.1" 200 267442
0:0:0:0:0:0:0:1 - - [09/Jun/2019:23:03:43 -0300] "GET /ProjetoJSF/javax.faces.resource/components.css.jsf?ln=primefaces&v=7.0 HTTP/1.1" 200 93229
0:0:0:0:0:0:0:1 - - [09/Jun/2019:23:03:43 -0300] "GET /ProjetoJSF/javax.faces.resource/core.js.jsf?ln=primefaces&v=7.0 HTTP/1.1" 200 37704
0:0:0:0:0:0:0:1 - - [09/Jun/2019:23:03:43 -0300] "GET /ProjetoJSF/javax.faces.resource/components.js.jsf?ln=primefaces&v=7.0 HTTP/1.1" 200 422192
0:0:0:0:0:0:0:1 - - [09/Jun/2019:23:03:47 -0300] "POST /ProjetoJSF/gerenciarEmpresa.jsf HTTP/1.1" 200 7785
0:0:0:0:0:0:0:1 - - [09/Jun/2019:23:03:47 -0300] "GET /ProjetoJSF/javax.faces.resource/theme.css.jsf?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jun/2019:23:03:47 -0300] "GET /ProjetoJSF/javax.faces.resource/components.css.jsf?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jun/2019:23:03:47 -0300] "GET /ProjetoJSF/javax.faces.resource/jquery/jquery.js.jsf?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jun/2019:23:03:47 -0300] "GET /ProjetoJSF/javax.faces.resource/jquery/jquery-plugins.js.jsf?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jun/2019:23:03:47 -0300] "GET /ProjetoJSF/javax.faces.resource/core.js.jsf?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jun/2019:23:03:47 -0300] "GET /ProjetoJSF/javax.faces.resource/components.js.jsf?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jun/2019:23:03:47 -0300] "GET /ProjetoJSF/javax.faces.resource/jsf.js.jsf?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jun/2019:23:03:50 -0300] "POST /ProjetoJSF/index.jsf HTTP/1.1" 200 10289
0:0:0:0:0:0:0:1 - - [09/Jun/2019:23:03:50 -0300] "GET /ProjetoJSF/javax.faces.resource/components.css.jsf?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jun/2019:23:03:50 -0300] "GET /ProjetoJSF/javax.faces.resource/jquery/jquery.js.jsf?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jun/2019:23:03:50 -0300] "GET /ProjetoJSF/javax.faces.resource/jquery/jquery-plugins.js.jsf?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jun/2019:23:03:50 -0300] "GET /ProjetoJSF/javax.faces.resource/theme.css.jsf?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jun/2019:23:03:50 -0300] "GET /ProjetoJSF/javax.faces.resource/components.js.jsf?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jun/2019:23:03:50 -0300] "GET /ProjetoJSF/javax.faces.resource/core.js.jsf?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jun/2019:23:03:50 -0300] "GET /ProjetoJSF/javax.faces.resource/images/ui-icons_38667f_256x240.png.jsf?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jun/2019:23:03:52 -0300] "POST /ProjetoJSF/gerenciarEmpresa.jsf HTTP/1.1" 200 7785
0:0:0:0:0:0:0:1 - - [09/Jun/2019:23:03:52 -0300] "GET /ProjetoJSF/javax.faces.resource/theme.css.jsf?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jun/2019:23:03:52 -0300] "GET /ProjetoJSF/javax.faces.resource/components.css.jsf?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jun/2019:23:03:52 -0300] "GET /ProjetoJSF/javax.faces.resource/jquery/jquery.js.jsf?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jun/2019:23:03:52 -0300] "GET /ProjetoJSF/javax.faces.resource/jquery/jquery-plugins.js.jsf?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jun/2019:23:03:52 -0300] "GET /ProjetoJSF/javax.faces.resource/core.js.jsf?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jun/2019:23:03:52 -0300] "GET /ProjetoJSF/javax.faces.resource/components.js.jsf?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jun/2019:23:03:52 -0300] "GET /ProjetoJSF/javax.faces.resource/jsf.js.jsf?ln=javax.faces&stage=Development HTTP/1.1" 304 -
